subregion,country,region,period.num,period,industry,site,unit,site.unit,BP.cal.median,C14.mean,C14.SD,C14.CV,calib.curve,sample.id,longitude,latitude,material,delta 13,method and id,citation,source,comments
Southeast,Italy,NA,2,Late Pleniglacial,final epigravettian,La Cala,H,La Cala H,14590,12350,250,0.0202,intcal13,F-110,15.3799,40.0006,NA,NA,"Conv 14C, 3644",NA,Leuven,NA
Southeast,Italy,NA,1,LGM,Gravettian,La Cala,QV,La Cala QV,25110,20900,150,0.0072,intcal13,OxA-7404,15.3799,40.0006,charcoal,-24.8,"AMS, 1525",NA,Leuven,NA
N Central,Spain,NE Spain,4,Holocene,Microbladelet Epipaleolithic,La Cativera,NA,La Cativera,9904,8860,95,0.0107,intcal13,NA,1.3361,41.1883,NA,NA,NA,NA,QSR paper,NA
N Central,Spain,NE Spain,3,End Glacial,Epipalaeolithic microlaminar,La Cativera,c1,La Cativera 1,12132,10370,100,0.0096,intcal13,AA-23369,1.3361,41.1883,Charcoal,?,"AMS, 3278",Angelucci D. 2003. Catena 54: 573-601.,Leuven,NA
N Central,Spain,NE Spain,3,End Glacial,Epipalaeolithic microlaminar,La Cativera,c2,La Cativera 2,12495,10660,120,0.0113,intcal13,AA-23370,1.3361,41.1883,Charcoal,?,"AMS, 3279",Angelucci D. 2003. Catena 54: 573-601.,Leuven,NA
N Central,Spain,NE Spain,3,End Glacial,Epipaleolithic miicrolaminar,La Cativera,c3b,La Cativera 3,12999,11135,80,0.0072,intcal13,AA-23372,1.3361,41.1883,Charcoal,?,"AMS, 3281",Angelucci D. 2003. Catena 54: 573-601.,Leuven,NA
N Central,Spain,NE Spain,3,End Glacial,Epipaleolithic microlaminar,La Cativera,c3,La Cativera 3,13084,11230,100,0.0089,intcal13,AA-23371,1.3361,41.1883,Charcoal,?,"AMS, 3280",Angelucci D. 2003. Catena 54: 573-601.,Leuven,NA
N Central,Spain,NE Spain,4,Holocene,Mesolรญtico de Muescas y Denticulados,La Cativera,A,La Cativera A,8839,7979,60,0.0075,intcal13,AA23367,1.3361,41.1883,NA,NA,NA,Aullรฉ et al. 2000,O Garcia,NA
N Central,Spain,NE Spain,4,Holocene,Epipaleolรญtico Microlaminar,La Cativera,B,La Cativera B,9221,8230,40,0.0049,intcal13,Beta281623,1.3361,41.1883,NA,NA,NA,Fontanals et al. 2009,O Garcia,NA
Southwest,Spain,S&E Spain,4,Holocene,Mesolitico Geometrico,La Cocina,I,La Cocina I,8431,7610,40,0.0053,intcal13,Beta267440,-0.7260,39.2520,NA,NA,NA,Juan-Cabanilles y Garcia 2013,O Garcia,NA
Southwest,Spain,S&E Spain,4,Holocene,Mesolitico Geometrico,La Cocina,I,La Cocina I,8176,7350,40,0.0054,intcal13,Beta267438,-0.7260,39.2520,NA,NA,NA,Juan-Cabanilles y Garcia 2013,O Garcia,NA
Southwest,Spain,S&E Spain,4,Holocene,Mesolitico Geometrico,La Cocina,I,La Cocina I,7608,6760,40,0.0059,intcal13,Beta267439,-0.7260,39.2520,NA,NA,NA,Juan-Cabanilles y Garcia 2013,O Garcia,NA
Southwest,Spain,S&E Spain,4,Holocene,Mesolitico Geometrico,La Cocina,II,La Cocina II,7867,7080,50,0.0071,intcal13,Beta267436,-0.7260,39.2520,NA,NA,NA,Juan-Cabanilles y Garcia 2013,O Garcia,NA
Southwest,Spain,S&E Spain,4,Holocene,Mesolitico Geometrico,La Cocina,II,La Cocina II,7713,6840,50,0.0073,intcal13,Beta267435,-0.7260,39.2520,NA,NA,NA,Juan-Cabanilles y Garcia 2013,O Garcia,NA
Southwest,Spain,S&E Spain,4,Holocene,Mesolitico Geometrico,La Cocina,Pericot 1941-11,La Cocina Pericot 1941-11,8223,7415,35,0.0047,intcal13,UCIAMS147347,-0.7260,39.2520,NA,NA,NA,Garcia et al. in press,O Garcia,NA
Southwest,Spain,S&E Spain,4,Holocene,Mesolitico Geometrico,La Cocina,Pericot 1941-3,La Cocina Pericot 1941-3,7808,6970,35,0.005,intcal13,UCIAMS147346,-0.7260,39.2520,NA,NA,NA,Garcia et al. in press,O Garcia,NA
Southwest,Spain,S&E Spain,4,Holocene,Mesolitico Geometrico,La Cocina,Pericot 1941-6,La Cocina Pericot 1941-6,8099,7300,30,0.0041,intcal13,UCIAMS145194,-0.7260,39.2520,NA,NA,NA,Garcia et al. in press,O Garcia,NA
Southwest,Spain,S&E Spain,4,Holocene,Mesolitico Geometrico,La Cocina,Pericot 1941-8,La Cocina Pericot 1941-8,8285,7475,25,0.0033,intcal13,UCIAMS145195,-0.7260,39.2520,NA,NA,NA,Garcia et al. in press,O Garcia,NA
Southwest,Spain,S&E Spain,4,Holocene,Mesolithic,La Cocina,phase A,La Cocina phase A,8773,7905,40,0.0051,intcal13,NA,-0.7260,39.2520,NA,NA,NA,NA,QSR paper,NA
Southwest,Spain,S&E Spain,4,Holocene,Mesolithic,La Cocina,phase B,La Cocina phase B,7852,7050,50,0.0071,intcal13,NA,-0.7260,39.2520,NA,NA,NA,NA,QSR paper,NA
Northeast,Italy,NA,3,End Glacial,Final Epigravettian,La Greppia II,2,La Greppia II 2,12929,11074,65,0.0059,intcal13,LTL1159A,10.3263,44.1869,charcoal from tg. 1/2,?,"AMS, 6559",Dimi H. 2000-2001. Rivista di Scienze preistoriche 51: 201-220. Naudinot N. 2014. JAS 52: 578-590.,Leuven,NA
Northeast,Italy,NA,3,End Glacial,Final Epigravettian,La Greppia II,2,La Greppia II 2,13080,11240,80,0.0071,intcal13,LTL1465A,10.3263,44.1869,charcoal from 5/6,?,"AMS, 6560",Dimi H. 2000-2001. Rivista di Scienze preistoriche 51: 201-220. Naudinot N. 2014. JAS 52: 578-590.,Leuven,NA
N Central,France,Rhรดne-Alpes,4,Holocene,Sauveterrian,La Pecoulette,layer A 2 depth 100-110cm,La Pecoulette layer A2,9849,8740,230,0.0263,intcal13,Ly-2411,4.1400,44.1900,NA,NA,NA,NA,PANCEA,NA
N Central,France,Rhรดne-Alpes,4,Holocene,Sauveterrian,La Pecoulette,layer A 2 depth 75-100cm,La Pecoulette layer A2,9624,8570,320,0.0373,intcal13,Ly-1978,4.1400,44.1900,NA,NA,NA,NA,PANCEA,NA
N Central,France,Rhรดne-Alpes,4,Holocene,Sauveterrian,La Pecoulette,layer A 2 depth 60-70cm,La Pecoulette layer A2,9470,8450,350,0.0414,intcal13,Ly-2364,4.1400,44.1900,NA,NA,NA,NA,PANCEA,NA
Southeast,Italy,NA,3,End Glacial,"Early Mesolithic, romanellian",La Porta,B t.5,La Porta B t.5,11416,9810,275,0.028,intcal13,F-41,14.4833,40.6333,NA,NA,"Conv 14C, 6304","Pluciennik, 1997",Leuven,NA
N Central,France,NA,3,End Glacial,Mesolithic,La Poujade,Layer 10BC,La Poujade 10BC,10033,8910,145,0.0163,intcal13,MC1240,3.1600,44.1100,NA,NA,NA,Shennan & Steele 2000,O Garcia,NA
Southeast,Italy,NA,3,End Glacial,"Epigravettian, Berton",La Punta,24-25,La Punta 24-25,12373,10581,100,0.0095,intcal13,Pl-153,13.5167,42.0167,NA,NA,"Conv 14C, 7290",Mussi M. e.a. 2011. QI 242: 360-370.,Leuven,NA
Southeast,Italy,NA,3,End Glacial,"Epigravettian, Berton",La Punta,27-31,La Punta 27-31,13584,11770,70,0.0059,intcal13,R-1272,13.5167,42.0167,NA,NA,"Conv 14C, 7330",NA,Leuven,NA
Northeast,Italy,NA,4,Holocene,Mesolithic,Laghetti del Crestoso,bottom of layer 2,Laghetti del Crestoso bottom of layer 2,7643,6790,120,0.0177,intcal13,HAR8871,10.2739,45.7933,NA,NA,NA,Shennan & Steele 2000,O Garcia,NA
Southwest,Spain,S&E Spain,4,Holocene,Mesolitico Geometrico,Lagrimal,IV,Lagrimal IV,7820,6990,50,0.0072,intcal13,Beta249933,-1.0183,38.5097,NA,NA,NA,Fernandez y Puche 2009,O Garcia,NA
N Central,France,NA,3,End Glacial,Aurignacian Lower/Protoaurignacian/ Primitive Aurignacian/ Initail Aurignacian,Laouza,2b 1,Laouza 2b 1,11389,10000,480,0.048,intcal13,Ly-991,4.4097,43.9349,bone,NA,"Conv 14C, 857","Renault-Miskovsky J., Leroi-Gourhan Arl., 1981. Bull. AFEQ, vol 3-4 : 121-128. Szmidt C.C. 2009 In :The Mediterranean from 50000 to 25000 BP, Oxbow.",Leuven,NA
N Central,France,NA,1,LGM,NA,Laouza,6,Laouza 6,19537,16190,175,0.0108,intcal13,LYON-890,4.4097,43.9349,Burnt bone,?,"AMS, 3450",NA,Leuven,NA
N Central,France,NA,1,LGM,Magdalenian lower,Laroque II,3,Laroque II 3,19614,16200,400,0.0247,intcal13,MC-1210,3.7333,43.9167,Middle Magddalenian,NA,"Conv 14C, 2034","Onoratini,G and Renault-Miskovsky,J,Prรฉhistoire et environnement du paleolithique superieur du sud-est de la France,in: European late pleistocene, isotope stages 2 and 3: humans, their ecology & cultural adaptations,p131-174. Rillardon M. 2014. PhD. Aix-M",Leuven,NA
N Central,France,NA,2,Late Pleniglacial,Middle Magdalenian,Laroque II,b,Laroque II b,17862,14680,75,0.0051,intcal13,OxA-22039,3.7333,43.9167,NA,?,"AMS, 5272","Bazile-Robert E., 1981. Palรฉobiologie continentale, XII, nยฐ1 : 79-90. Rillardon M. 2014. PhD. Aix-Marseille I.",Leuven,NA
N Central,France,NA,2,Late Pleniglacial,Middle Magdalenian,Laroque II,b,Laroque II b,15556,13100,300,0.0229,intcal13,MC-2248,3.7333,43.9167,NA,NA,"Conv 14C, 6078","Bazile-Robert E., 1981. Palรฉobiologie continentale, XII, nยฐ1 : 79-90. Rillardon M. 2014. PhD. Aix-Marseille I.",Leuven,NA
N Central,France,NA,2,Late Pleniglacial,Badegoulian,Lassac,II D and surface collection,Lassac II D,16030,13335,45,0.0034,intcal13,KIA-25340,2.6266,43.3586,charcoal,?,"AMS, 3150",Bazile F. 2006. BSPF 103: 180-184. Petillon e.a. JHE 2012. 62: 435-465.,Leuven,NA
N Central,France,NA,1,LGM,Badegoulian,Lassac,II D and surface collection,Lassac II D,19994,16580,80,0.0048,intcal13,GrA-18488 (LYON-1548),2.6266,43.3586,NA,?,"AMS, 2673",Bazile F. 2006. BSPF 103: 180-184. Petillon e.a. JHE 2012. 62: 435-465.,Leuven,NA
N Central,France,NA,1,LGM,Badegoulian,Lassac,II D and surface collection,Lassac II D,19580,16230,100,0.0062,intcal13,LYON-6420(SacA-17497),2.6266,43.3586,Antler manufactguring waste from surface,?,"AMS, 5691",Bazile F. 2006. BSPF 103: 180-184. Petillon e.a. JHE 2012. 62: 435-465.,Leuven,NA
N Central,France,NA,1,LGM,Badegoulian,Lassac,II D,Lassac II D,20214,16750,250,0.0149,intcal13,Gif-2981,2.6266,43.3586,bone,NA,"Conv 14C, 527",Bazile F. 2006. BSPF 103: 180-184. Petillon e.a. JHE 2012. 62: 435-465.,Leuven,NA
N Central,France,NA,1,LGM,Badegoulian,Lassac,Locus 1,Lassac Locus 1,21188,17530,100,0.0057,intcal13,LYON-6418(SacA-17495),2.6266,43.3586,antler flake,?,"AMS, 5694",Petillon J.-M. e.a. 2012. JHE 62: 435-465.,Leuven,NA
N Central,France,NA,1,LGM,Badegoulian,Lassac,Locus 1,Lassac Locus 1,21036,17400,110,0.0063,intcal13,LYON-6417(SacA-17494),2.6266,43.3586,antler flake,?,"AMS, 5693",Petillon J.-M. e.a. 2012. JHE 62: 435-465.,Leuven,NA
N Central,France,NA,1,LGM,Badegoulian,Lassac,Test trench 1 layer 4,Lassac Test trench 1 layer 4,20077,16650,100,0.006,intcal13,LYON-6421'SacA-17498),2.6266,43.3586,antler manufacturing wasste,?,"AMS, 5692",Petillon J.-M. e.a. 2012. JHE 62: 435-465.,Leuven,NA
Southeast,Italy,NA,4,Holocene,Mesolithic,Latronico,LA taglio 53-54,Latronico LA taglio 53-54,8334,7570,90,0.0119,intcal13,Rome448,16.0103,40.0881,NA,NA,NA,Dini et al. 2011,O Garcia,NA
Southeast,Italy,NA,4,Holocene,Mesolithic,Latronico,LA taglio 55,Latronico LA taglio 55,8679,7800,90,0.0115,intcal13,Rome449,16.0103,40.0881,NA,NA,NA,Dini et al. 2012,O Garcia,NA
Southeast,Italy,NA,4,Holocene,Mesolithic,Latronico,LA taglio57,Latronico LA taglio 57,7881,7045,90,0.0128,intcal13,Rome450,16.0103,40.0881,NA,NA,NA,Dini et al. 2013,O Garcia,NA
Southeast,Italy,NA,4,Holocene,Mesolithic,Latronico,LA taglio58,Latronico LA taglio 58,8000,7160,80,0.0112,intcal13,Rome451,16.0103,40.0881,NA,NA,NA,Dini et al. 2014,O Garcia,NA
Southeast,Italy,NA,4,Holocene,Mesolithic,Latronico,LA taglio59-60,Latronico LA taglio 59-60,7832,6970,90,0.0129,intcal13,Rome452,16.0103,40.0881,NA,NA,NA,Dini et al. 2015,O Garcia,NA
Southeast,Italy,NA,4,Holocene,Mesolithic,Latronico,LA tagli63-64,Latronico LA taglio 63-64,8936,8024,100,0.0125,intcal13,Rome453,16.0103,40.0881,NA,NA,NA,Dini et al. 2016,O Garcia,NA
Southeast,Italy,NA,4,Holocene,Mesolithic,Latronico,LB taglio 52,Latronico LB taglio 52,8224,7400,90,0.0122,intcal13,Rome447,16.0103,40.0881,NA,NA,NA,Dini et al. 2010,O Garcia,NA
Southeast,Italy,NA,4,Holocene,Mesolithic,Latronico,LD tagli 41-42,Latronico LD taglio 41-42,8241,7420,90,0.0121,intcal13,Rome445,16.0103,40.0881,NA,NA,NA,Dini et al. 2008,O Garcia,NA
Southeast,Italy,NA,4,Holocene,Mesolithic,Latronico,LD taglio 43,Latronico LD taglio 43,8442,7620,90,0.0118,intcal13,Rome446,16.0103,40.0881,NA,NA,NA,Dini et al. 2009,O Garcia,NA
N Central,France,NA,1,LGM,Romanellian,Lavalduc,structure IV,Lavalduc structure IV,21434,17770,420,0.0236,intcal13,ICEN-,4.8600,43.5000,bone,NA,"Conv 14C, 542",NA,Leuven,NA
Southeast,Italy,NA,2,Late Pleniglacial,"Final Epigravettian, Palaeolithic rock art",Le Mura,"Area 8, strato 3","Le Mura Area 8, strato 3",17686,14510,50,0.0034,intcal13,Beta-91798,17.3000,40.9500,NA,?,"AMS, 7387",Palma di Cesnola A.. 1996. Eraul: 305-317. Mussi M. 2011. QI. Gazzonii V. 2008. PhD Ferrara: 110.,Leuven,NA
Southeast,Italy,NA,3,End Glacial,"Final Epigravettian, Palaeolithic rock art",Le Mura,"Area 8, strato 3","Le Mura Area 8, strato 3",13274,11420,100,0.0088,intcal13,Beta-142778,17.3000,40.9500,from burial Mura1,?,"AMS, 7382",Palma di Cesnola A.. 1996. Eraul: 305-317. Mussi M. 2011. QI. Gazzonii V. 2008. PhD Ferrara: 110.,Leuven,NA
Southeast,Italy,NA,3,End Glacial,"Final Epigravettian, Palaeolithic rock art",Le Mura,"Area 8, strato 3","Le Mura Area 8, strato 3",13140,11330,100,0.0088,intcal13,Beta-91797,17.3000,40.9500,NA,?,"AMS, 7383",Palma di Cesnola A.. 1996. Eraul: 305-317. Mussi M. 2011. QI. Gazzonii V. 2008. PhD Ferrara: 110.,Leuven,NA
Southeast,Italy,NA,3,End Glacial,"Final Epigravettian, Palaeolithic rock art",Le Mura,"Area 8, strato 3","Le Mura Area 8, strato 3",12752,10850,100,0.0092,intcal13,UtC-1462,17.3000,40.9500,NA,?,"AMS, 4564",Palma di Cesnola A.. 1996. Eraul: 305-317. Mussi M. 2011. QI. Gazzonii V. 2008. PhD Ferrara: 110.,Leuven,NA
Southeast,Italy,NA,3,End Glacial,"Final Epigravettian, Palaeolithic rock art",Le Mura,"Area 8, strato 3","Le Mura Area 8, strato 3",12234,10540,140,0.0133,intcal13,Beta-91796,17.3000,40.9500,NA,?,"AMS, 4563",Palma di Cesnola A.. 1996. Eraul: 305-317. Mussi M. 2011. QI. Gazzonii V. 2008. PhD Ferrara: 110.,Leuven,NA
Southeast,Italy,NA,1,LGM,Ancient Epigravettian,Le Mura,"Area A, strato 4","Le Mura Area A, strato 4",19166,15860,80,0.005,intcal13,Beta-171353,17.3000,40.9500,NA,?,"AMS, 7388",Gazzonii V. 2008. PhD Ferrara: 110.,Leuven,NA
N Central,France,Languedoc,4,Holocene,Mesolithic,Le Plaisir,NA,Le Plaisir,9837,8745,45,0.0051,intcal13,NA,4.3237,43.7187,NA,NA,NA,NA,QSR paper,NA
N Central,France,Provence,4,Holocene,Mesolithic,Les Agnels,bb,Les Agnels bb,9689,8635,55,0.0064,intcal13,NA,5.3954,43.8764,NA,NA,NA,NA,QSR paper,NA
N Central,France,Provence,4,Holocene,Mesolithic,Les Agnels,scb,Les Agnels scb,9090,8250,115,0.0139,intcal13,NA,5.3954,43.8764,NA,NA,NA,NA,QSR paper,NA
N Central,France,Provence,4,Holocene,Mesolithic,Les Agnels,sgcl,Les Agnels sgcl,8951,8050,130,0.0161,intcal13,NA,5.3954,43.8764,NA,NA,NA,NA,QSR paper,NA
N Central,France,Languedoc,2,Late Pleniglacial,Middle Magdalenian,Les Conques,3,Les Conques 3,17150,14260,440,0.0309,intcal13,NA,2.8300,42.7600,NA,NA,NA,NA,QSR paper,NA
Southeast,Italy,NA,3,End Glacial,Early Mesolithic,Levanzo,NA,Levanzo,11083,9694,110,0.0113,intcal13,Pi-119,12.3333,37.9833,mollusc,NA,"Conv 14C, 6299","Pluciennik, 1997",Leuven,NA
Southeast,Italy,NA,3,End Glacial,Final  Epigravettian,Levanzo,5A,Levanzo 5A,12625,11180,120,0.0107,marine13,R-566,12.3333,37.9833,shell,NA,"Conv 14C, 6349","RADIOCARBON, VOL. 15, No. 3, 1973, P. 479-487]",Leuven,NA
Southeast,Italy,NA,3,End Glacial,Final  Epigravettian,Levanzo,5A,Levanzo 5A,13165,11710,295,0.0252,marine13,F-19,12.3333,37.9833,Patella furruginea from level 6A,NA,"Conv 14C, 3648","RADIOCARBON, VOL. 15, No. 3, 1973, P. 479-487]",Leuven,NA
Southeast,Italy,NA,3,End Glacial,Final  Epigravettian,Levanzo,5A,Levanzo 5A,11374,10175,295,0.029,marine13,F-18,12.3333,37.9833,Patella furruginea from level 5A,NA,"Conv 14C, 3647","RADIOCARBON, VOL. 15, No. 3, 1973, P. 479-487]",Leuven,NA
Southeast,Italy,NA,3,End Glacial,Final  Epigravettian,Levanzo,5A,Levanzo 5A,11280,10110,300,0.0297,marine13,F-20,12.3333,37.9833,Patella furruginea from level 6,NA,"Conv 14C, 3649","RADIOCARBON, VOL. 15, No. 3, 1973, P. 479-487]",Leuven,NA
Southwest,Spain,S&E Spain,4,Holocene,Mesolรญtico de Muescas y Denticulados,Los Banyos,2b1,Los Banyos 2b1,8910,8040,50,0.0062,intcal13,GrA21556,-0.5825,41.0362,NA,NA,NA,Montes et al. 2006,O Garcia,NA
Southwest,Spain,S&E Spain,4,Holocene,Mesolitico Geometrico,Los Banyos,IIb / I,Los Banyos 2b1,8551,7740,50,0.0065,intcal13,GrA21552,-0.5825,41.0362,NA,NA,NA,Utrilla et al. 2009,O Garcia,NA
Southwest,Spain,S&E Spain,4,Holocene,Mesolitico Geometrico,Los Banyos,IIb / I,Los Banyos 2b1,8734,7840,100,0.0128,intcal13,GrN24299,-0.5825,41.0362,NA,NA,NA,Utrilla et al. 2009,O Garcia,NA
Southwest,Spain,S&E Spain,4,Holocene,Mesolitico Geometrico,Los Banyos,IIb / III inferior,Los Banyos 2b3,8360,7550,50,0.0066,intcal13,GrA21551,-0.5825,41.0362,NA,NA,NA,Utrilla et al. 2009,O Garcia,NA
Southwest,Spain,S&E Spain,4,Holocene,Mesolitico Geometrico,Los Banyos,IIb / III superior,Los Banyos 2b3,8173,7350,50,0.0068,intcal13,GrA21550,-0.5825,41.0362,NA,NA,NA,Utrilla et al. 2009,O Garcia,NA
Southwest,Spain,S&E Spain,4,Holocene,Mesolithic,Los Banyos,"phaseA, 2b3 generico, 2b3inf, 2b3sup",Los Banyos 2b3,8374,7570,100,0.0132,intcal13,NA,-0.5825,41.0362,NA,NA,NA,NA,QSR paper,NA
Southwest,Spain,S&E Spain,2,Late Pleniglacial,Lower Magdalenian? Transition Aurignacian/Gravettian,Los Toros,a2/b,Los Toros a2/b,17545,14410,70,0.0049,intcal13,GrA-27867,-0.5549,40.5133,bone,?,"AMS, 3165","Utrilla P. e.a. 2007. BSPF 104: 797-807. Montes L. 2006. In: Miscelanea en homenaje a Victoria Cabrera, Alcala de Henares: 214-233..",Leuven,NA
Southwest,Spain,S&E Spain,1,LGM,Lower Magdalenian? Transition Aurignacian/Gravettian,Los Toros,a2/b,Los Toros a2/b,31761,27770,180,0.0065,intcal13,GrA-29140,-0.5549,40.5133,Charcoal,?,"AMS, 3177","Utrilla P. e.a. 2007. BSPF 104: 797-807. Montes L. 2006. In: Miscelanea en homenaje a Victoria Cabrera, Alcala de Henares: 214-233..",Leuven,NA
Northeast,France,Alps Maritime,2,Late Pleniglacial,Upper Magdalenian,Magdeleine,Bois C4g,Magdeleine Bois C4g,16541,13680,130,0.0095,intcal13,GifA-96345,7.1000,44.1000,NA,?,"AMS, 4576",NA,Leuven,NA
Southwest,Spain,S&E Spain,1,LGM,Palaeolithic,Mallaetes,NA,Mallaetes,19642,16300,150,0.0092,intcal13,KN-l/918,-0.3011,39.0122,Sand charcoal nr. 6,NA,"Conv 14C, 7869",NA,Leuven,NA
Southwest,Spain,S&E Spain,1,LGM,Gravettian,Mallaetes,"12 from sector E at a depth of 2.75  - 2.90 m, XII",Mallaetes 12,29316,25120,240,0.0096,intcal13,Beta-155607,-0.3011,39.0122,charcoal of Pinus nigra type associated with the bone preserved in glass vial from earliet excavations,?,"AMS, 2192",Arsuaga J. et al. 2002. JHE 43: 381-393. Garate Maidagan D. e.a. 2011. Zephyrus 68: 15-39.,Leuven,NA
Southwest,Spain,S&E Spain,1,LGM,Palaeolithic,Mallaetes,NA,Mallaetes 12,33427,29690,560,0.0189,intcal13,KN-l/926,-0.3011,39.0122,sand charoal Nr 17,NA,"Conv 14C, 7872",NA,Leuven,NA
Southwest,Spain,S&E Spain,1,LGM,"Solutrean lower, Gravetian",Mallaetes,2-VI,Mallaetes 2,25798,21710,650,0.0299,intcal13,KN-I/920,-0.3011,39.0122,charcoal,NA,"Conv 14C, 2323","Allsworth-Jones, P. 1986 ('The Szeletian'. Oxford, Clarendon Press) Fortea y Jorda 1976. Zephyrus 26-27: 129-166. Renault-Miskovsky J., Leroi-Gourhan Arl., 1981. Bull. AFEQ, vol 3-4 : 121-128.",Leuven,NA
Southwest,Spain,S&E Spain,1,LGM,Solutrean middle,Mallaetes,VA,Mallaetes 2,24200,20140,460,0.0228,intcal13,KN-I/919,-0.3011,39.0122,charcoal,NA,"Conv 14C, 2318",Fortea y Jorda 1976. Zephyrus 26-27: 129-166.,Leuven,NA
Southwest,Spain,S&E Spain,3,End Glacial,"Gravettian epi, Epipalaeolithic",Mallaetes,VI,Mallaetes 6,12084,10370,105,0.0101,intcal13,KN-I/915,-0.3011,39.0122,charcoal,NA,"Conv 14C, 2320",Fortea y Jorda 1976. Zephyrus 26-27: 129-166. Cava Almuzara A. 2004. Saldvie 4: 17-40.,Leuven,NA
N Central,Spain,NE Spain,4,Holocene,Epipaleolithic attached to notches and denticulates,Marge del Moro,NA,Marge del Moro,9761,8686,55,0.0063,intcal13,NA,1.9181,41.3449,NA,NA,NA,NA,QSR paper,NA
N Central,Spain,NE Spain,4,Holocene,Epipaleolรญtico Microlaminar,Marge del Moro,VI,Marge del Moro VI,9258,8270,65,0.0079,intcal13,OxA8572,1.9181,41.3449,NA,NA,NA,Blasco et al. 2011,O Garcia,NA
N Central,Spain,NE Spain,4,Holocene,Mesolรญtico de Muescas y Denticulados,Margineda,-,Margineda,7680,6820,170,0.0249,intcal13,Ly3290,1.6270,42.5780,NA,NA,NA,Guilaine et al. 1995,O Garcia,NA
N Central,Spain,NE Spain,3,End Glacial,Azilian,Margineda,c 10,Margineda 10,13506,11690,90,0.0077,intcal13,Ly-4896,1.6270,42.5780,charcoal,NA,"Conv 14C, 7070",Martinez-Moreno J. e.a. TP 66: 45-60.,Leuven,NA
N Central,Spain,NE Spain,3,End Glacial,Azilian,Margineda,c 10,Margineda 10,13392,11510,100,0.0087,intcal13,Ly-5414,1.6270,42.5780,NA,NA,"Conv 14C, 7546",Martinez-Moreno J. e.a. TP 66: 45-60.,Leuven,NA
N Central,Spain,NE Spain,3,End Glacial,Azilian,Margineda,c 10,Margineda 10,13726,11870,110,0.0093,intcal13,Ly-4898,1.6270,42.5780,Charcoal,NA,"Conv 14C, 6999",Martinez-Moreno J. e.a. TP 66: 45-60.,Leuven,NA
N Central,Spain,NE Spain,3,End Glacial,Magdalenian,Margineda,10 b,Margineda 10,13306,11500,150,0.013,intcal13,Ly-5415,1.6270,42.5780,NA,NA,"Conv 14C, 7552",Utrilla P. e.a. 2012. QI,Leuven,NA
N Central,Spain,NE Spain,3,End Glacial,Azilian,Margineda,c 10,Margineda 10,13460,11560,230,0.0199,intcal13,Ly-5413,1.6270,42.5780,NA,NA,"Conv 14C, 7187",Martinez-Moreno J. e.a. TP 66: 45-60.,Leuven,NA
N Central,Spain,NE Spain,4,Holocene,Mesolรญtico,Margineda,C3f,Margineda 3,8204,7401,37,0.005,intcal13,CNA2682,1.6270,42.5780,NA,NA,NA,Oms et al. 2016,O Garcia,NA
N Central,Spain,NE Spain,3,End Glacial,Mesolรญtico de Muescas y Denticulados,Margineda,IV base,Margineda 4,10060,8970,120,0.0134,intcal13,Ly4401,1.6270,42.5780,NA,NA,NA,Guilaine et al. 1995,O Garcia,NA
N Central,Spain,NE Spain,4,Holocene,Mesolรญtico de Muescas y Denticulados,Margineda,IV,Margineda 4,9374,8390,150,0.0179,intcal13,Ly2840,1.6270,42.5780,NA,NA,NA,Guilaine et al. 1995,O Garcia,NA
N Central,Spain,NE Spain,4,Holocene,Mesolรญtico de Muescas y Denticulados,Margineda,IV,Margineda 4,9112,8210,180,0.0219,intcal13,Ly3291,1.6270,42.5780,NA,NA,NA,Guilaine et al. 1995,O Garcia,NA
N Central,Spain,NE Spain,4,Holocene,Mesolรญtico de Muescas y Denticulados,Margineda,IV superior,Margineda 4,9250,8210,370,0.0451,intcal13,Ly3292,1.6270,42.5780,NA,NA,NA,Guilaine et al. 1995,O Garcia,NA
N Central,Spain,NE Spain,4,Holocene,Mesolรญtico de Muescas y Denticulados,Margineda,IV base,Margineda 4,9628,8530,420,0.0492,intcal13,Ly2841,1.6270,42.5780,NA,NA,NA,Guilaine et al. 1995,O Garcia,NA
N Central,Spain,NE Spain,4,Holocene,Mesolรญtico de Muescas y Denticulados,Margineda,IV/V,Margineda 4/5,9959,8850,120,0.0136,intcal13,Ly3892,1.6270,42.5780,NA,NA,NA,Guilaine et al. 1995,O Garcia,NA
N Central,Spain,NE Spain,3,End Glacial,Azilian,Margineda,C 5,Margineda 5,11272,9790,180,0.0184,intcal13,Ly-3893,1.6270,42.5780,Charcoal,NA,"Conv 14C, 7076","Martinez-Moreno J. e.a. 2006. APDCA, Antibes: 147-160.",Leuven,NA
N Central,Andorra,NE Spain,3,End Glacial,NA,Margineda,5/6,Margineda 5/6,10056,8960,120,0.0134,intcal13,NA,1.6270,42.5780,NA,NA,NA,NA,QSR paper,NA
N Central,Spain,NE Spain,3,End Glacial,Sauveterroid? Epipalaeolithic microlaminar,Margineda,6 base/7,Margineda 6,11400,9900,110,0.0111,intcal13,Ly-3884,1.6270,42.5780,charcoal,NA,"Conv 14C, 6867","Cava Almuzara A. 2004. Saldvie 4: 17-40. Gonzalez-Samperiz P. e.a. 2008. QR, doi:10.10116/jqres.2008,10.006.",Leuven,NA
