subregion,country,region,period.num,period,industry,site,unit,site.unit,BP.cal.median,C14.mean,C14.SD,C14.CV,calib.curve,sample.id,longitude,latitude,material,delta 13,method and id,citation,source,comments
N Central,France,NA,3,End Glacial,Azilian,Gauthier,NA,Gauthier,11342,9850,140,0.0142,intcal13,NA,5.2212,44.0167,NA,NA,"Conv 14C, 6883",http://sites.univ-provence.fr/wjeb/pdf/palsup_spf.pdf,Leuven,NA
N Central,France,NA,3,End Glacial,Azilian,Gauthier,NA,Gauthier,11724,10090,170,0.0168,intcal13,NA,5.2212,44.0167,NA,NA,"Conv 14C, 6884",http://sites.univ-provence.fr/wjeb/pdf/palsup_spf.pdf,Leuven,NA
N Central,France,NA,4,Holocene,Mesolithic?,Gazel,1 Z209/210,Gazel 1,7640,6780,50,0.0074,intcal13,Lyon1992,2.4199,43.3242,NA,NA,NA,Banadora,O Garcia,NA
N Central,France,NA,4,Holocene,Mesolithic?,Gazel,2 Z 225/230,Gazel 2,8562,7730,60,0.0078,intcal13,Lyon1993,2.4199,43.3242,NA,NA,NA,Banadora,O Garcia,NA
N Central,France,Languedoc,4,Holocene,Azilian,Gazel,4,Gazel 4,9849,8730,60,0.0069,intcal13,NA,2.4199,43.3242,NA,NA,NA,NA,QSR paper,NA
N Central,France,Languedoc-Rouissillon,4,Holocene,Sauveterrian,Gazel,4,Gazel 4,7655,6810,130,0.0191,intcal13,Gif-2401,2.4199,43.3242,NA,NA,NA,NA,PANCEA,NA
N Central,France,NA,3,End Glacial,Epi-Magdalenian,Gazel,5 sec G I,Gazel 5,11695,10080,190,0.0188,intcal13,Gif-2653,2.4199,43.3242,charcoal,NA,"Conv 14C, 525",NA,Leuven,NA
N Central,France,NA,3,End Glacial,Epi-Magdalenian,Gazel,6 sec G I,Gazel 6,12510,10760,190,0.0177,intcal13,Gif-2654,2.4199,43.3242,charcoal,NA,"Conv 14C, 524",NA,Leuven,NA
N Central,France,Languedoc-Rouissillon,2,Late Pleniglacial,Magdalenian,Gazel,7,Gazel 7,16881,13935,45,0.0032,intcal13,KIA-25340,2.4199,43.3242,NA,NA,NA,NA,PANCEA,NA
N Central,France,Languedoc,2,Late Pleniglacial,Middle Magdalenian,Gazel,7,Gazel 7,17295,14213,60,0.0042,intcal13,NA,2.4199,43.3242,NA,NA,NA,NA,QSR paper,NA
