subregion,country,region,period.num,period,industry,site.id,site,unit,site.unit,BP.cal.median,lithics.total,debris,cores,retouched,retouch.freq,backed,backed.freq,bonetools,bonetool.freq,portability,NISP,large.herbivore,small.herbivore,carnivore,lg.herbivore.index,elevation,distcoast.modern,distcoast.contemp,longitude,latitude,macro.retouch.freq
N Central,France,Provence,3,End Glacial,Mesolithic,34,Gramari,3c,Gramari 3c,10570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,8,0,2,1.000,343,67.86,74.30,5.2200,44.0100,NA
N Central,France,Languedoc,1,LGM,Solutrean,24,Granouly,c,Granouly c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,0,0,1.000,105,134.89,163.23,4.7689,44.6710,NA
N Central,Andorra,Andorra,4,Holocene,Sauveterien,2,Grotte 47,6,Grotte 47 6,NA,7217,6741,NA,476,0.066,406,0.056,NA,NA,NA,239,236,0,3,1.000,,,,NA,NA,0.010
N Central,Spain,NE Spain,4,Holocene,Mesolíthic,66,Guilanya,C,Guilanya C,9691,2620,2545,NA,75,0.029,2,0.001,NA,NA,NA,NA,NA,NA,NA,NA,598,79.02,79.47,1.6394,41.9919,0.028
N Central,Spain,NE Spain,3,End Glacial,Azilian,66,Guilanya,E,Guilanya E,12944,2160,2006,32,122,0.056,36,0.017,NA,NA,NA,NA,NA,NA,NA,NA,598,79.02,83.22,1.6394,41.9919,0.040
N Central,Spain,NE Spain,2,Late Pleniglacial,Azilien,66,Guilanya,K-EJ,Guilanya K-EJ,14368,220,NA,NA,67,0.305,21,0.095,NA,NA,NA,800,NA,NA,NA,NA,598,79.02,88.53,1.6394,41.9919,0.209
N Central,France,Provence,2,Late Pleniglacial,Upper Magdalenian,41,L’Adaouste,12,L’Adaouste 12,14399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,4,0,0,1.000,269,39.05,49.14,5.6300,43.6300,NA
N Central,France,Provence,2,Late Pleniglacial,Upper Magdalenian,41,L’Adaouste,17,L’Adaouste 17,15028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,4,0,2,1.000,269,39.05,49.14,5.6300,43.6300,NA
N Central,Spain,NE Spain,4,Holocene,Microbladelet Epipaleolithic,64,La Cativera,,La Cativera,9904,1013,NA,NA,124,0.122,65,0.064,1,0.001,0.532,NA,NA,NA,NA,NA,105,6.69,7.16,1.3363,41.1890,0.058
Southwest,Spain,S&E Spain,4,Holocene,Mesolithic,82,La Cocina,phase A,La Cocina phase A,8773,3634,487,NA,396,0.109,98,0.027,NA,NA,NA,203,177,26,NA,0.872,449,37.00,39.12,-0.7258,39.2527,0.082
