subregion,country,region,period.num,period,industry,site.id,site,unit,site.unit,BP.cal.median,NISP,Rangifer,Equus,Mammuthus,Bos,Cervus,Alces.or.Megaloceros,Capra,Rupicapra,Saiga,Sus,Capreolus,Ungulate,Oryctolagus,Lepus,Lagomorph,Castor,Marmota,Vulpes.or.Alopex,Canis,Lynx,Felis,Panthera,Meles,Crocuta,Gulo,Lutra,Martes,Mustela,Ursus,Carnivore,Rodentia.small,Insectivora,Phocidae,bird,reptile,turtle,fish,terrestrial.shell,marine.shell,shell.sp,Ident.fraction,large.herbivore,,small.herbivore,carnivore,lg.herbivore.index,shannon,shannon.mammal,simpson,simpson.mammal,elevation,distcoast.modern,distcoast.contemp,latitude,longitude,invsimpson.mammal,invsimpson
N Central,France,Languedoc,1,LGM,Solutrean,23,Salpetriere,e,Salpetriere E,26630,57,2,4,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,8,1,1,1,0.8889,1.6094,1.6094,0.7600,0.7600,27,53.65,86.78,43.9396,4.5641,4.17,4.17
N Central,France,Languedoc,1,LGM,Solutrean,23,Salpetriere,I-v,Salpetriere I-V,23052,2712,74,17,0,2,2,0,2,1,0,0,0,0,5,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0.04,98,6,6,2,0.9423,1.3223,1.0892,0.5832,0.4833,27,53.65,86.78,43.9396,4.5641,1.94,2.40
N Central,France,Languedoc,3,End Glacial,Epipaleolithic,22,Saut du Loup,I,Saut du Loup I,NA,9195,0,0,0,0,4,0,0,2,0,3,0,0,233,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,9,234,234,3,0.0370,0.3008,0.3008,0.1024,0.1024,292,96.42,115.62,44.3659,4.5349,1.11,1.11
N Central,France,Languedoc,3,End Glacial,Epipaleolithic,22,Saut du Loup,II,Saut du Loup II,13924,5265,0,1,0,0,4,0,1,1,0,3,0,0,145,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,10,146,146,3,0.0641,0.4748,0.4748,0.1671,0.1671,292,96.42,115.62,44.3659,4.5349,1.20,1.20
N Central,France,Languedoc,3,End Glacial,Epipaleolithic,22,Saut du Loup,III,Saut du Loup III,13608,19453,0,0,0,0,5,0,2,1,0,3,0,0,523,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,11,524,524,5,0.0206,0.2055,0.2055,0.0618,0.0618,292,96.42,115.62,44.3659,4.5349,1.07,1.07
Southeast,Italy,S Italy,3,End Glacial,Epipaleolithic,52,Serratura,4,Serratura 4,11605,107,0,0,0,0,28,0,3,0,0,47,26,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,104,0,0,3,1.0000,1.2872,1.2872,0.6785,0.6785,64,0.12,0.68,39.9938,15.4211,3.11,3.11
Southeast,Italy,S Italy,3,End Glacial,Epipaleolithic,52,Serratura,5,Serratura 5,11182,407,0,0,0,0,74,0,5,0,0,210,79,0,0,0,0,0,0,0,0,0,8,0,7,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,1,368,0,0,39,1.0000,1.3377,1.3377,0.6587,0.6587,64,0.12,0.68,39.9938,15.4211,2.93,2.93
Southeast,Italy,S Italy,3,End Glacial,Sauveterrian,52,Serratura,6,Serratura 6,11182,38,0,0,0,0,7,0,3,0,0,16,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,34,0,0,4,1.0000,1.5143,1.5143,0.7327,0.7327,64,0.12,0.68,39.9938,15.4211,3.74,3.74
Southeast,Italy,S Italy,3,End Glacial,Sauveterrian,52,Serratura,7,Serratura 7,11700,95,0,0,0,0,6,0,0,0,0,48,26,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,1,80,0,0,15,1.0000,1.2041,1.2041,0.6440,0.6440,64,0.12,0.68,39.9938,15.4211,2.81,2.81
Southeast,Italy,S Italy,3,End Glacial,Epigravettian-Mesolithic,52,Serratura,8A,Serratura 8A,13390,38,0,0,0,0,10,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,32,0,0,6,1.0000,1.5202,1.5202,0.7535,0.7535,64,0.12,0.68,39.9938,15.4211,4.06,4.06
Southeast,Italy,S Italy,3,End Glacial,Epigravettian-Mesolithic,52,Serratura,8B,Serratura 8B,13390,143,0,0,0,0,60,0,4,0,0,40,27,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,131,0,0,12,1.0000,1.3910,1.3910,0.7043,0.7043,64,0.12,0.68,39.9938,15.4211,3.38,3.38
Southeast,Italy,S Italy,3,End Glacial,Final Epigravettian,52,Serratura,8C,Serratura 8C,13390,227,0,0,0,0,101,0,1,0,0,30,34,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,1,166,0,0,60,1.0000,1.3278,1.3278,0.6941,0.6941,64,0.12,0.68,39.9938,15.4211,3.27,3.27
N Central,France,Provence,3,End Glacial,Epipaleolithic,33,Soubeyras,C2,Soubeyras C2,NA,74,0,2,0,3,2,0,1,0,0,2,0,0,8,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,10,10,10,1,0.5000,1.8314,1.8314,0.7937,0.7937,182,48.97,55.01,43.835,5.205,4.85,4.85
N Central,France,Provence,3,End Glacial,Epipaleolithic,33,Soubeyras,C3a,Soubeyras C3a,NA,1146,0,2,0,0,0,0,0,0,0,0,0,0,53,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,2,58,58,0,0.0333,0.4300,0.4300,0.2117,0.2117,182,48.97,55.01,43.835,5.205,1.27,1.27
N Central,France,Provence,3,End Glacial,Epipaleolithic,33,Soubeyras,C3b,Soubeyras C3b,NA,15,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,5,0,0,1,1.0000,1.3297,1.3297,0.7222,0.7222,182,48.97,55.01,43.835,5.205,3.60,3.60
Northeast,Italy,NW Italy,4,Holocene,Pal sup-Neolithic,50,Stefanin,III,Stefanin III,NA,4411,0,0,0,44,121,0,735,0,0,278,43,0,0,7,0,0,0,0,12,0,24,0,25,0,0,1,18,2,3,0,4,0,0,2,0,0,3,0,29,0,0.3,1221,7,7,85,0.9943,1.4448,1.4228,0.6351,0.6324,684,16.64,16.77,44.1036,8.0181,2.72,2.74
Northeast,Italy,NW Italy,4,Holocene,Late Epigravettian,50,Stefanin,IV,Stefanin IV,9092,3129,0,0,0,9,83,0,1121,0,0,198,47,0,0,7,0,0,0,1,5,0,6,0,11,0,0,0,18,1,3,0,15,5,0,0,0,0,0,0,20,0,0.49,1458,7,7,45,0.9952,1.0265,1.0265,0.4422,0.4422,684,16.64,16.77,44.1036,8.0181,1.79,1.79
Northeast,Italy,NW Italy,2,Late Pleniglacial,Epigravettian,50,Stefanin,IX,Stefanin IX,NA,94,0,0,0,0,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,14,0,0,0,1.0000,0.4101,0.4101,0.2449,0.2449,684,16.64,18.46,44.1036,8.0181,1.32,1.32
Northeast,Italy,NW Italy,4,Holocene,Late Epigravettian,50,Stefanin,V,Stefanin V,9129,5507,0,0,0,1,44,0,1118,0,0,174,38,0,0,7,0,5,0,6,0,0,12,0,9,0,0,0,6,4,2,0,27,0,0,0,0,0,0,0,26,0,0.26,1375,12,12,39,0.9913,0.9230,0.9230,0.3915,0.3915,684,16.64,16.77,44.1036,8.0181,1.64,1.64
Northeast,Italy,NW Italy,2,Late Pleniglacial,Late Epigravettian,50,Stefanin,VI,Stefanin VI,14969,387,0,0,0,0,1,0,157,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,13,0,0,0,0,0,1,0,0,0,0.46,160,1,1,3,0.9938,0.5269,0.4950,0.2164,0.2075,684,16.64,18.46,44.1036,8.0181,1.26,1.28
Northeast,Italy,NW Italy,3,End Glacial,Late Epigravettian,50,Stefanin,VII,Stefanin VII,NA,285,0,0,0,0,1,0,170,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0.66,176,2,2,0,0.9888,0.4370,0.4370,0.1792,0.1792,684,16.64,17.56,44.1036,8.0181,1.22,1.22
Northeast,Italy,NW Italy,3,End Glacial,Late epigravettian,50,Stefanin,VIII,Stefanin VIII,NA,50,0,0,0,0,2,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52,26,0,0,0,1.0000,0.2712,0.2712,0.1420,0.1420,684,16.64,17.56,44.1036,8.0181,1.17,1.17
Northeast,Italy,NW Italy,2,Late Pleniglacial,Epigravettian,50,Stefanin,X,Stefanin X,NA,44,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,18,0,0,0,1.0000,0.0000,0.0000,0.0000,0.0000,684,16.64,18.46,44.1036,8.0181,1.00,1.00
Northeast,Italy,NW Italy,2,Late Pleniglacial,Epigravettian,50,Stefanin,XI,Stefanin XI,NA,29,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0.34,6,0,0,0,1.0000,0.6730,0.0000,0.4800,0.0000,684,16.64,18.46,44.1036,8.0181,1.00,1.92
Northeast,Italy,NW Italy,2,Late Pleniglacial,Epigravettian,50,Stefanin,XV-XVI,Stefanin XV-XVI,NA,56,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,35,0,0,1,1.0000,0.1269,0.1269,0.0540,0.0540,NA,NA,NA,NA,NA,1.06,1.06
